id_hd,xxxx,yyyy,year,Xnorm
metadc62433,0.5836000555813754,1945.6048747209861,1945,49.5
metadc62434,6.5347155799500625,1945.5635424693078,1945,67.5
metadc62435,9.637316896448485,1956.76195359185,1956,82.0
metadc62437,0.4439145223583861,1943.966539368314,1943,45.5
metadc62438,10.133073539125864,1944.2559476992526,1944,48.8
metadc62442,4.647761692479182,1946.2281000871587,1946,43.0
metadc62443,9.454078077363269,1956.4059265832504,1956,62.8
metadc62444,0.7504879424296822,1943.9018829559475,1943,87.0
metadc62445,10.272646596865886,1956.2588245705733,1956,49.5
metadc62446,8.540993946975048,1946.7926832458786,1946,63.333333333333336
metadc62447,10.233164566321504,1943.1831032093653,1943,79.5
metadc62448,4.408966663587284,1943.4296727405854,1943,100.0
metadc62449,4.667676922335486,1944.2682846832465,1944,73.0
metadc62450,9.444087592033233,1956.81637206246,1956,94.0
metadc62451,7.450803401268599,1944.8610518127807,1944,104.0
metadc62452,8.290231756268179,1943.8196112605585,1943,42.333333333333336
metadc62453,4.162379949024567,1956.9298803372021,1956,91.0
metadc62454,1.2845065952989432,1956.82270390255,1956,66.0
metadc62455,6.520449690483058,1940.4949273281416,1940,85.4
metadc62456,9.507533699046103,1940.959565768743,1940,93.0
metadc62457,3.3578280897440287,1941.8396804718038,1941,93.0
metadc62459,9.313483459444855,1943.3656154519247,1943,95.0
metadc62460,10.534760711678656,1944.5863744576225,1944,93.0
metadc62461,7.438164024039179,1956.0273656159823,1956,35.8
metadc62462,0.03360961100892782,1945.1802632918307,1945,96.33333333333333
metadc62463,4.373907464556827,1956.4867275732265,1956,51.333333333333336
metadc62464,1.3199388690360898,1945.2929142249618,1945,103.0
metadc62466,7.320260369668523,1947.755645462888,1947,93.0
metadc62467,5.466539722376167,1946.799639300121,1946,93.0
metadc62468,1.2236733045109396,1945.5274205353119,1945,94.0
metadc62469,8.089678639777134,1956.6328090940146,1956,98.4
metadc62470,8.48222403366485,1943.9738391256406,1943,36.75
metadc62471,3.3132732325539607,1945.7226254938128,1945,54.142857142857146
metadc62472,2.5088571803979405,1942.6067744736483,1942,89.0
metadc62474,5.620881905683943,1945.415610409649,1945,48.0
metadc62475,9.502634978928704,1945.688756956836,1945,90.33333333333333
metadc62476,1.2978386706449658,1956.255511651598,1956,88.4
metadc62478,2.3644769708887394,1926.396583477525,1926,51.0
metadc62480,4.44439802732884,1945.0741904514953,1945,52.75
metadc62482,4.212146462238247,1945.7301134326053,1945,51.0
metadc62483,2.3217729186882483,1945.3340079098361,1945,25.0
metadc62484,3.3275502489399087,1944.3243782511945,1944,106.0
metadc62485,4.4618507315329365,1956.5419754986808,1956,96.6
metadc62486,4.194650593573069,1944.4409103284765,1944,1.5
metadc62487,4.1518626458671255,1944.0388593230841,1944,78.25
metadc62488,3.0214514698105464,1944.7555058291737,1944,106.0
metadc62489,7.255303946366412,1956.3703499440937,1956,100.0
metadc62490,6.114856597892443,1944.162026893816,1944,65.0
metadc62492,2.304981689722075,1945.2431955609768,1945,83.0
metadc62497,2.2443579515300898,1945.0617801187,1945,8.0
metadc62498,9.594960569733626,1944.5444654968853,1944,52.75
metadc62499,3.5185103542892144,1956.2464764683577,1956,94.0
metadc62501,3.5873463987898475,1943.6702579272094,1943,56.6
metadc62502,1.5272512986820168,1942.7790659542472,1942,53.2
metadc62503,9.282889584167174,1956.2413940050149,1956,49.333333333333336
metadc62504,1.3694358126610435,1944.4475509502945,1944,90.0
metadc62505,5.463098313295678,1945.552737636272,1945,64.0
metadc62507,5.041604136399989,1954.628582775994,1954,89.6
metadc62508,9.556246165187636,1956.0464701673197,1956,60.0
metadc62509,8.672588884907835,1945.772782847992,1945,99.0
metadc62511,5.5023249564489625,1944.614411637132,1944,67.0
metadc62512,9.269092256791676,1945.1419287302233,1945,72.0
metadc62513,0.14448369096209615,1956.212837897057,1956,67.75
metadc62516,9.5185745516176,1944.7820789143962,1944,93.0
metadc62517,9.064918267464478,1944.6276816962827,1944,98.33333333333333
metadc62518,6.0116374722484025,1956.5053444782932,1956,61.333333333333336
metadc62519,6.650986234895862,1944.6166150776385,1944,97.0
metadc62521,9.332921494739333,1956.7652187894628,1956,42.0
metadc62522,9.441951372055117,1944.31306902436,1944,97.0
metadc62524,6.466119371866269,1954.359667564094,1954,50.75
metadc62526,0.252920253368461,1946.419973954434,1946,51.0
metadc62530,8.484952587311557,1944.7431619415008,1944,81.0
metadc62531,5.382524949373216,1946.434965218665,1946,68.66666666666667
metadc62532,2.617462263859838,1945.648613317711,1945,97.0
metadc62535,2.5956573067792807,1945.2744599757534,1945,101.0
metadc62537,10.185840540665687,1945.6975503065923,1945,97.0
metadc62538,10.452606574310117,1945.9607632154841,1945,97.0
metadc62539,6.730003041649049,1945.4271407887686,1945,97.0
metadc62540,3.1837281028152686,1945.6122031466095,1945,99.0
metadc62541,1.0729145445508286,1954.8849041854392,1954,44.57142857142857
metadc62542,8.514311217009624,1945.3366403253635,1945,93.0
metadc62544,7.552157743923902,1945.566447285513,1945,93.0
metadc62545,3.5594035197740386,1956.3648982319519,1956,43.8
metadc62546,2.3633274379576563,1945.474537064017,1945,99.0
metadc62547,6.198596346895346,1945.8865038185254,1945,98.33333333333333
metadc62548,4.225660803960668,1945.2877710231528,1945,99.0
metadc62549,6.6338631709561815,1946.6471335537753,1946,93.5
metadc62551,9.140897348304094,1944.8794319723986,1944,43.0
metadc62552,9.192542474020346,1945.110379056644,1945,51.0
metadc62553,0.5397337754447755,1956.4457082457425,1956,48.6
metadc62554,7.1104080692694245,1954.9116089920324,1954,74.75
